source_database,source_id,protein_name,uniprot_id,pubmed_ids,source_url,source_api_url,retrieval_date,raw_matrix_path,raw_uniprot_path,notes
JASPAR CORE,MA0139.1,CTCF,P49711,17512414,https://jaspar.elixir.no/matrix/MA0139.1/,https://jaspar.elixir.no/api/v1/matrix/MA0139.1/,2026-08-29,E:\codex\dbp_offtarget_project\data\raw\jaspar\MA0139.1.json,E:\codex\dbp_offtarget_project\data\raw\uniprot\P49711.fasta,Small Layer C pilot from JASPAR PFM. Scores are PWM-derived and not cross-assay normalized.
JASPAR CORE,MA0106.3,TP53,P04637,1588974,https://jaspar.elixir.no/matrix/MA0106.3/,https://jaspar.elixir.no/api/v1/matrix/MA0106.3/,2026-08-29,E:\codex\dbp_offtarget_project\data\raw\jaspar\MA0106.3.json,E:\codex\dbp_offtarget_project\data\raw\uniprot\P04637.fasta,Small Layer C pilot from JASPAR PFM. Scores are PWM-derived and not cross-assay normalized.
JASPAR CORE,MA0493.1,Klf1,P46099,7682653,https://jaspar.elixir.no/matrix/MA0493.1/,https://jaspar.elixir.no/api/v1/matrix/MA0493.1/,2026-08-29,E:\codex\dbp_offtarget_project\data\raw\jaspar\MA0493.1.json,E:\codex\dbp_offtarget_project\data\raw\uniprot\P46099.fasta,Small Layer C pilot from JASPAR PFM. Scores are PWM-derived and not cross-assay normalized.
JASPAR CORE,MA0035.4,GATA1,P15976,23142663,https://jaspar.elixir.no/matrix/MA0035.4/,https://jaspar.elixir.no/api/v1/matrix/MA0035.4/,2026-08-29,E:\codex\dbp_offtarget_project\data\raw\jaspar\MA0035.4.json,E:\codex\dbp_offtarget_project\data\raw\uniprot\P15976.fasta,Small Layer C pilot from JASPAR PFM. Scores are PWM-derived and not cross-assay normalized.
JASPAR CORE,MA0079.5,SP1,P08047,22021377,https://jaspar.elixir.no/matrix/MA0079.5/,https://jaspar.elixir.no/api/v1/matrix/MA0079.5/,2026-08-29,E:\codex\dbp_offtarget_project\data\raw\jaspar\MA0079.5.json,E:\codex\dbp_offtarget_project\data\raw\uniprot\P08047.fasta,Small Layer C pilot from JASPAR PFM. Scores are PWM-derived and not cross-assay normalized.
