natural_protein_id,protein_name,score_type,n_experiments,pearson,spearman,replicate_status
UniPROBE:NBT06:Zif268,Zif268,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PNAS08:Cgd2_3490,Cgd2_3490_contig8mers.txt,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PNAS08:PF14_0633,PF14_0633_contig8mers.txt,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PNAS08:PFF0200c,PFF0200c_contig8mers.txt,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PNAS12:Lmd,Lmd,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-CSL-NOTCH1,GST-CSL-NOTCH1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-CSL_Fig2,GST-CSL,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-CSL_Fig4,GST-CSL,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-NOTCH1_CSL-6His,GST-NOTCH1_CSL-6His,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-NOTCH1_CSL-6His_MAML1,GST-NOTCH1_CSL-6His_MAML1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-NOTCH1_Fig2,GST-NOTCH1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-NOTCH1_Fig4,GST-NOTCH1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:MAML1-CSL-GST-NOTCH1_Fig2,MAML1-CSL-GST-NOTCH1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:MAML1-CSL-GST-NOTCH1_Fig5,MAML1-CSL-GST-NOTCH1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:MAML1-CSL-GST-NOTCH2_Fig5,MAML1-CSL-GST-NOTCH2,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:MAML1-CSL-GST-NOTCH2_FigS1,MAML1-CSL-GST-NOTCH2,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:MAML1-CSL-GST-NOTCH3,MAML1-CSL-GST-NOTCH3,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:MAML1-CSL-GST-NOTCH4,MAML1-CSL-GST-NOTCH4,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:MAL8P1.153,MAL8P1.153,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PF07_0126,PF07_0126,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PF10_0075_D1,PF10_0075,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PF10_0075_D2,PF10_0075,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PF10_0075_D3,PF10_0075,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PF11_0091,PF11_0091,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PF11_0442,PF11_0442,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PF13_0026,PF13_0026,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PF13_0097,PF13_0097,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PF13_0235,PF13_0235,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PF13_0267,PF13_0267,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PF14_0079,PF14_0079,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PF14_0533,PF14_0533,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PFD0985w_D1,PFD0985w,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PFD0985w_D2,PFD0985w,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PFE0840c,PFE0840c,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PFF0200c_DLD,PFF0200c,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PFF0670w_D1,PFF0670w,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PFF0670w_D2,PFF0670w,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PFL1075w,PFL1075w,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PFL1085w,PFL1085w,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PFL1900w_D1,PFL1900w,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:Path10:PFL1900w_DLD,PFL1900w,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
