protein	n_mutations	experimental_q25_threshold	n_severe	average_precision	top_quartile_k	top_quartile_recall	top_quartile_enrichment	status
DBP001	39	-0.7510170548289266	10	0.5552919799498747	10	0.6	2.3400000000000003	PRIMARY_SIX
DBP003	39	-0.329505689777179	10	0.46768506515330477	10	0.4	1.5600000000000003	PRIMARY_SIX
DBP005	42	-0.477126163692206	11	0.47885990936230177	11	0.5454545454545454	2.0826446280991733	PRIMARY_SIX
DBP006	42	-0.48645417575535826	11	0.7430340158949785	11	0.5454545454545454	2.0826446280991733	PRIMARY_SIX
DBP009	42	-0.6660096527561012	11	0.6239506061744464	11	0.45454545454545453	1.7355371900826444	PRIMARY_SIX
DBP035	42	-0.386951436526479	11	0.651126382401086	11	0.6363636363636364	2.4297520661157024	PRIMARY_SIX
DBP048	42	-0.6954421893654681	11	0.36385029973051747	11	0.36363636363636365	1.3884297520661157	SENSITIVITY_ONLY
