model,median_per_protein_seed_sd,max_per_protein_seed_sd,median_seed_min,median_seed_max
M0,0.014136098169550863,0.03869201305528955,0.2696499065784896,0.2916194249842662
M1,0.03393268487127781,0.052122543126953316,0.1679662900498917,0.2265972592530738
M1c,0.05558491003123049,0.12409676751920766,0.137767391949638,0.2353479208844239
M2,0.052739447033794074,0.06916678191928964,0.0788295599323637,0.1838264428387102
M3,0.03690061061228361,0.06628673015242893,0.0716672558590266,0.1857259633047219
