split_type,fold_id,seed,dbp_id,model,spearman,ndcg_1pct,ndcg_5pct,pairwise_accuracy,top1pct_recovery,n_rc_classes,prediction_variance,training_pair_count,development_exposed,status
protein_cluster_loco,protein_cluster_loco_fold_1,43.0,DBP3,M1,0.2591595487781581,0.7894355991412481,0.7225857289523904,0.59415,0.036585365853658534,8192.0,1.095000982284546,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_1,43.0,DBP1,M1c,0.4489683230704573,0.8920473875366798,0.8316959644348136,0.6564,0.06097560975609756,8192.0,0.916903018951416,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_1,43.0,DBP3,M1c,0.15754879245438466,0.6340847738483146,0.6119879437584848,0.55335,0.012195121951219513,8192.0,3.9538979530334473,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_1,43.0,DBP1,M2,-0.18474071067870984,0.3696614658985744,0.36760392557266014,0.445,0.0,8192.0,2.7985029220581055,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_1,43.0,DBP3,M2,0.1121531305193674,0.4776043447959431,0.49413937269466046,0.54045,0.0,8192.0,2.7985029220581055,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_1,43.0,DBP1,M3,0.010144385601285439,0.5157619983515831,0.5400606221553543,0.5045,0.024390243902439025,8192.0,1.446675419807434,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_1,43.0,DBP3,M3,0.19464894837333704,0.6476628863513799,0.6403348778080035,0.5658,0.012195121951219513,8192.0,1.4401023387908936,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,17.0,DBP35,M0,0.28636129637394026,0.832381959924665,0.7624328577246494,0.5917295864793239,0.06097560975609756,8192.0,0.6195502281188965,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,17.0,DBP5,M0,0.2024758230154714,0.7365120946569361,0.6795497225976395,0.5658,0.07317073170731707,8192.0,0.6195502281188965,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,17.0,DBP35,M1,0.1837847034099572,0.7552491850145525,0.7181630032603883,0.5603280164008201,0.04878048780487805,8192.0,1.273977518081665,2560.0,True,diagnostic_replay_all_designed_exposed
