split_type,fold_id,seed,model,first_epoch_loss,last_epoch_loss,prediction_variance,nan_inf_count
protein_cluster_loco,protein_cluster_loco_fold_1,17,M0,0.6974145948886872,0.55780458599329,0.7222962379455566,0
protein_cluster_loco,protein_cluster_loco_fold_1,17,M1,0.7002403885126114,0.5120088011026382,1.6336095333099365,0
protein_cluster_loco,protein_cluster_loco_fold_1,17,M1c,0.707281431555748,0.5243625551462173,0.7876379489898682,0
protein_cluster_loco,protein_cluster_loco_fold_1,17,M2,0.704385831952095,0.5519873395562171,1.5593273639678955,0
protein_cluster_loco,protein_cluster_loco_fold_1,17,M3,0.7019055783748627,0.5495400413870811,0.7204724550247192,0
protein_cluster_loco,protein_cluster_loco_fold_1,29,M0,0.6940632432699203,0.5334475427865982,0.9915308952331543,0
protein_cluster_loco,protein_cluster_loco_fold_1,29,M1,0.6982928335666656,0.5488989159464837,0.9352715611457825,0
protein_cluster_loco,protein_cluster_loco_fold_1,29,M1c,0.704270726442337,0.5269711092114449,1.0799376964569092,0
protein_cluster_loco,protein_cluster_loco_fold_1,29,M2,0.7038625597953796,0.5571803987026215,1.1434108018875122,0
protein_cluster_loco,protein_cluster_loco_fold_1,29,M3,0.7067591458559036,0.5637135192751884,1.5438096523284912,0
protein_cluster_loco,protein_cluster_loco_fold_1,43,M0,0.6960688650608062,0.5353177860379219,0.8716013431549072,0
protein_cluster_loco,protein_cluster_loco_fold_1,43,M1,0.6957601338624955,0.48453123569488527,1.3507004976272583,0
protein_cluster_loco,protein_cluster_loco_fold_1,43,M1c,0.7016313344240188,0.49732921198010444,6.31906795501709,0
protein_cluster_loco,protein_cluster_loco_fold_1,43,M2,0.7033325523138046,0.5535125300288201,2.7985029220581055,0
protein_cluster_loco,protein_cluster_loco_fold_1,43,M3,0.7008664041757584,0.51921776086092,1.4433900117874146,0
protein_cluster_loco,protein_cluster_loco_fold_2,17,M0,0.7051038116216659,0.5731174513697624,0.6195502281188965,0
protein_cluster_loco,protein_cluster_loco_fold_2,17,M1,0.7042216360569,0.530231200158596,1.1211649179458618,0
protein_cluster_loco,protein_cluster_loco_fold_2,17,M1c,0.709947282075882,0.5207214936614036,0.912421464920044,0
protein_cluster_loco,protein_cluster_loco_fold_2,17,M2,0.7029205739498139,0.6419953763484955,0.25449585914611816,0
protein_cluster_loco,protein_cluster_loco_fold_2,17,M3,0.7056015521287918,0.6649473160505295,1.820441722869873,0
protein_cluster_loco,protein_cluster_loco_fold_2,29,M0,0.7003735542297364,0.5684485122561455,0.6899201273918152,0
protein_cluster_loco,protein_cluster_loco_fold_2,29,M1,0.7008347004652024,0.4945914387702942,1.1604737043380737,0
protein_cluster_loco,protein_cluster_loco_fold_2,29,M1c,0.7040024816989898,0.5377187371253968,1.5350168943405151,0
protein_cluster_loco,protein_cluster_loco_fold_2,29,M2,0.6992667466402054,0.6394506931304932,0.4049695134162903,0
protein_cluster_loco,protein_cluster_loco_fold_2,29,M3,0.7003270626068115,0.6431361049413681,0.4158838391304016,0
protein_cluster_loco,protein_cluster_loco_fold_2,43,M0,0.698207750916481,0.5570573002099991,0.7858899831771851,0
protein_cluster_loco,protein_cluster_loco_fold_2,43,M1,0.6974361658096313,0.49347245395183564,1.1430892944335938,0
protein_cluster_loco,protein_cluster_loco_fold_2,43,M1c,0.702632549405098,0.4929983377456665,1.3022410869598389,0
protein_cluster_loco,protein_cluster_loco_fold_2,43,M2,0.701238939166069,0.6150959640741348,0.4379824101924896,0
protein_cluster_loco,protein_cluster_loco_fold_2,43,M3,0.6996374815702439,0.624789509177208,0.21306267380714417,0
protein_cluster_loco,protein_cluster_loco_fold_3,17,M0,0.6884158079822859,0.5173549676934878,1.086020588874817,0
protein_cluster_loco,protein_cluster_loco_fold_3,17,M1,0.6909709200263023,0.5329801924526691,1.0168044567108154,0
protein_cluster_loco,protein_cluster_loco_fold_3,17,M1c,0.6921974023183187,0.5446176218489805,1.1216431856155396,0
protein_cluster_loco,protein_cluster_loco_fold_3,17,M2,0.695286879936854,0.553590485205253,0.5245377421379089,0
protein_cluster_loco,protein_cluster_loco_fold_3,17,M3,0.6974440142512321,0.5585298786560694,1.5244781970977783,0
protein_cluster_loco,protein_cluster_loco_fold_3,29,M0,0.6877752716342608,0.49237297972043353,1.2988815307617188,0
protein_cluster_loco,protein_cluster_loco_fold_3,29,M1,0.690619096159935,0.48746491596102715,1.5492699146270752,0
protein_cluster_loco,protein_cluster_loco_fold_3,29,M1c,0.6915965328613917,0.5126743291815122,1.1980249881744385,0
protein_cluster_loco,protein_cluster_loco_fold_3,29,M2,0.692170150578022,0.5121875318388144,1.0734305381774902,0
protein_cluster_loco,protein_cluster_loco_fold_3,29,M3,0.6925005664428076,0.5236342524488767,2.446805477142334,0
protein_cluster_loco,protein_cluster_loco_fold_3,43,M0,0.6847008789579073,0.47114406153559685,1.4460809230804443,0
protein_cluster_loco,protein_cluster_loco_fold_3,43,M1,0.6914720485607783,0.4944125947852929,1.3431875705718994,0
protein_cluster_loco,protein_cluster_loco_fold_3,43,M1c,0.6899559671680132,0.5270574179788431,0.7713507413864136,0
protein_cluster_loco,protein_cluster_loco_fold_3,43,M2,0.6898246804873148,0.564543197552363,1.1105173826217651,0
protein_cluster_loco,protein_cluster_loco_fold_3,43,M3,0.6880608474214872,0.5389958048860232,1.848056674003601,0
protein_cluster_loco,protein_cluster_loco_fold_4,17,M0,0.6999382376670837,0.5246185779571533,0.9503120183944702,0
protein_cluster_loco,protein_cluster_loco_fold_4,17,M1,0.6982150673866272,0.46548316031694414,1.4888827800750732,0
protein_cluster_loco,protein_cluster_loco_fold_4,17,M1c,0.7017555892467499,0.4949959203600883,0.8400392532348633,0
protein_cluster_loco,protein_cluster_loco_fold_4,17,M2,0.6975380033254623,0.613881279528141,0.34845250844955444,0
protein_cluster_loco,protein_cluster_loco_fold_4,17,M3,0.6993113189935685,0.5842721372842788,0.21252812445163727,0
protein_cluster_loco,protein_cluster_loco_fold_4,29,M0,0.6973664313554764,0.4905739098787308,1.4238078594207764,0
protein_cluster_loco,protein_cluster_loco_fold_4,29,M1,0.6960739850997925,0.4953335613012314,0.8791919946670532,0
protein_cluster_loco,protein_cluster_loco_fold_4,29,M1c,0.70035600066185,0.4479198858141899,1.7658532857894897,0
protein_cluster_loco,protein_cluster_loco_fold_4,29,M2,0.6944825351238251,0.5285639986395836,0.6752538681030273,0
protein_cluster_loco,protein_cluster_loco_fold_4,29,M3,0.6942825376987457,0.5366498529911041,1.1257364749908447,0
protein_cluster_loco,protein_cluster_loco_fold_4,43,M0,0.6975882858037948,0.5017815351486206,1.2977180480957031,0
protein_cluster_loco,protein_cluster_loco_fold_4,43,M1,0.6998178094625473,0.43758039027452467,1.5247576236724854,0
protein_cluster_loco,protein_cluster_loco_fold_4,43,M1c,0.6997170895338058,0.4600475519895554,1.284767746925354,0
protein_cluster_loco,protein_cluster_loco_fold_4,43,M2,0.6956527978181839,0.6362841159105301,0.19039839506149292,0
protein_cluster_loco,protein_cluster_loco_fold_4,43,M3,0.6944833099842072,0.5266516134142876,0.5166626572608948,0
