dbp_id,model,seed_mean,seed_sd,seed_min,seed_max
DBP1,M0,0.33240466481127995,0.0060942507630563575,0.3272133702170203,0.3391146453095155
DBP1,M1,0.41374219475921414,0.052122543126953316,0.3780669238478896,0.4735585841991695
DBP1,M1c,0.4483994204129651,0.006696497175028741,0.4414366207300306,0.4547933174384075
DBP1,M2,-0.12270172279011764,0.054338760199919005,-0.1847407106787098,-0.0835536467810555
DBP1,M3,0.04205206027896954,0.06628673015242893,-0.0022465364973197,0.1182583317329429
DBP3,M0,0.28291219317386956,0.011671603480931358,0.2696499065784896,0.2916194249842662
DBP3,M1,0.2232273244799122,0.03393268487127781,0.1917303755012042,0.2591595487781581
DBP3,M1c,0.22508990781288515,0.06184902467329339,0.1575487924543846,0.2789589767587678
DBP3,M2,0.14800859822089582,0.03313283316377732,0.1121531305193674,0.17749374140019
DBP3,M3,0.2099014054513636,0.019778920373299043,0.194648948373337,0.2322493052931034
DBP35,M0,0.28408728931933586,0.011663806107287726,0.2714539367261298,0.2944466348579376
DBP35,M1,0.15416919338818683,0.04069191612804226,0.1077699329876492,0.1837847034099572
DBP35,M1c,0.08713054590185176,0.10646823480627315,-0.0326857129503548,0.1708826076538003
DBP35,M2,0.22092637419229302,0.03828355043632472,0.1986317256080741,0.2651318550783546
DBP35,M3,0.17923106244695633,0.032908771589999324,0.1495499659949489,0.2146206163087012
DBP48,M0,7.290720489123298e-05,0.032286179744656154,-0.0364692517604153,0.0247393260937016
DBP48,M1,-0.015977604762062902,0.028886264090220992,-0.0482468968639851,0.007467023745827
DBP48,M1c,0.07415403464957183,0.05558491003123049,0.0113716746718675,0.1170978628154633
DBP48,M2,-0.005137991247816099,0.037931719058388276,-0.0482378020844099,0.023166175056164
DBP48,M3,-0.1076268651541706,0.042560426502150826,-0.134191125881914,-0.0585376832077358
DBP5,M0,0.2091713300617993,0.014136098169550863,0.1996269576740202,0.2254112094959063
DBP5,M1,0.24898151267353,0.04076565250660183,0.2116789965516545,0.2924970049378758
DBP5,M1c,0.16576558901557362,0.12409676751920766,0.0225409902360246,0.2412564753960155
DBP5,M2,0.12711589257896608,0.06916678191928964,0.0574856806983748,0.1958097369280122
DBP5,M3,0.1415054997760777,0.06323309034308827,0.0690887714543382,0.1857938892289062
DBP6,M0,0.31874966021176193,0.0199011361202682,0.3066108943988785,0.3417170605250601
DBP6,M1,0.13706372142852843,0.02805756759711876,0.1057165426794237,0.1598255325702553
DBP6,M1c,0.16926323834465276,0.040581167492888724,0.137767391949638,0.2150584559292113
DBP6,M2,0.13423563034043653,0.052739447033794074,0.0788295599323637,0.1838264428387102
DBP6,M3,0.08927042686502311,0.015832331469281972,0.0716672558590266,0.102345067206594
DBP9,M0,0.15356060462452212,0.03869201305528955,0.1088940208382173,0.1767565053029611
DBP9,M1,0.20158879169941515,0.030249773965761517,0.1679662900498917,0.2265972592530738
DBP9,M1c,0.20221157317461266,0.03046781827130076,0.1754074433040789,0.2353479208844239
DBP9,M2,0.1684325523639387,0.05688397199115561,0.1035055476026342,0.2095070540498245
DBP9,M3,0.15781157195944392,0.03690061061228361,0.115975259901482,0.1857259633047219
