model,v05_all7_median_spearman,v06_all7_median_spearman,v06_minus_v05_median,v05_all7_mean_spearman,v06_all7_mean_spearman,developmental_scope
M0,0.12495071006359583,0.28291219317386956,0.15796148311027375,0.10537820888720317,0.22585123562963713,all seven GSE237017 DBPs exposed
M1,0.0557612726130303,0.20158879169941515,0.14582751908638486,0.08357045500517339,0.19468501909524627,all seven GSE237017 DBPs exposed
M1c,0.060505864779882464,0.16926323834465276,0.1087573735647703,0.08360092169293562,0.19600204418744469,all seven GSE237017 DBPs exposed
M2,0.0387644792300603,0.13423563034043653,0.09547115111037624,0.0321984231804233,0.09583990480837092,all seven GSE237017 DBPs exposed
M3,0.06819948642617547,0.1415054997760777,0.07330601334990224,0.032362898193996494,0.1017350230890948,all seven GSE237017 DBPs exposed
