method	median_pairwise_spearman	min_pairwise_spearman	max_pairwise_spearman	n_pairs
DeepPBS	0.23643650261672128	-0.37105694757283075	0.8850873609747134	21
NA-MPNN	0.00590010116199415	-0.29405041652509867	0.7859685063934266	21
