protein	n_matched	rho_deeppbs_competition	rho_pbm_competition	rho_deeppbs_pbm	mapping_status
DBP001	21	0.4454545454545455	-0.42207792207792205	-0.09090909090909091	PRIMARY
DBP003	21	0.1935064935064935	0.16883116883116883	0.16883116883116883	PRIMARY
DBP005	21	0.49350649350649345	0.14805194805194805	-0.14935064935064934	PRIMARY
DBP006	21	0.461038961038961	0.8132510984294133	0.5865541069343133	PRIMARY
DBP009	21	0.2506493506493506	0.6831168831168831	0.3844155844155844	PRIMARY
DBP035	21	0.45194805194805193	0.5584415584415584	0.16363636363636364	PRIMARY
DBP048	21	-0.12337662337662336	0.48181818181818176	-0.14155844155844155	AMBIGUOUS_SENSITIVITY_ONLY
