model,dbp_id,partition,spearman,ndcg_1pct,ndcg_5pct,pairwise_accuracy,top1pct_recovery,n_rc_units
L1_LocalProteinCandidate,DBP1,train,-0.3290001161170125,0.23512217137009706,0.2637239842941761,0.392275,0.0,8192
L1_LocalProteinCandidate,DBP3,train,0.02400404350597529,0.3360663915812682,0.39319252786609216,0.510575,0.0,8192
L1_LocalProteinCandidate,DBP35,test,-0.19188241338180428,0.29839386249582217,0.33302757622564544,0.43752187609380466,0.0,8192
L1_LocalProteinCandidate,DBP48,train,0.6865490060847816,0.90771233144046,0.8836378960113436,0.7456622831141557,0.0975609756097561,8192
L1_LocalProteinCandidate,DBP5,test,-0.33568963867770885,0.27328254646294026,0.2809111546526019,0.391125,0.0,8192
L1_LocalProteinCandidate,DBP6,train,0.20399357908313864,0.6181201127124102,0.5959644577238603,0.569775,0.0,8192
L1_LocalProteinCandidate,DBP9,train,-0.16920227523715226,0.509306699219504,0.481370012842728,0.448075,0.0,8192
L1c_LocalProteinCandidateCapacityMatched,DBP1,train,-0.32798382706929513,0.25165845555007216,0.2740026943670746,0.390325,0.0,8192
L1c_LocalProteinCandidateCapacityMatched,DBP3,train,0.028972511226868572,0.3818129575909834,0.41232856963234177,0.514325,0.0,8192
L1c_LocalProteinCandidateCapacityMatched,DBP35,test,-0.18878199820679767,0.3407532481791947,0.35055121371133025,0.43969698484924247,0.0,8192
L1c_LocalProteinCandidateCapacityMatched,DBP48,train,0.6889483578414033,0.9035953786219811,0.8833163072325779,0.747862393119656,0.0975609756097561,8192
L1c_LocalProteinCandidateCapacityMatched,DBP5,test,-0.3356052834530642,0.30422136516514814,0.2968743902116744,0.38825,0.0,8192
L1c_LocalProteinCandidateCapacityMatched,DBP6,train,0.20406004364627736,0.6061923353950426,0.6050702193578659,0.56685,0.0,8192
L1c_LocalProteinCandidateCapacityMatched,DBP9,train,-0.17008669500841947,0.47080069002028396,0.4833336007802465,0.44425,0.0,8192
L2_LocalProteinTargetCandidate,DBP1,train,-0.3327199008512575,0.21749192372217013,0.25821638159545446,0.388325,0.0,8192
L2_LocalProteinTargetCandidate,DBP3,train,0.018214100656064342,0.3152565320473732,0.3960879516732047,0.509575,0.0,8192
L2_LocalProteinTargetCandidate,DBP35,test,-0.18717622209457505,0.33926656861372423,0.3466264795592292,0.440022001100055,0.0,8192
L2_LocalProteinTargetCandidate,DBP48,train,0.6897009008313468,0.8997121541855447,0.8868736579276524,0.7473873693684684,0.0975609756097561,8192
L2_LocalProteinTargetCandidate,DBP5,test,-0.3380243134627843,0.27206723781845193,0.2687220113634321,0.390025,0.0,8192
L2_LocalProteinTargetCandidate,DBP6,train,0.20306401543630714,0.6217103405573202,0.6010804190382658,0.570625,0.0,8192
L2_LocalProteinTargetCandidate,DBP9,train,-0.16853956144505589,0.5185676985023048,0.48410359615502924,0.44595,0.0,8192
