model,dbp_id,shuffle_type,permutation_source,prediction_correlation,original_spearman,shuffled_spearman,spearman_delta,mean_abs_score_change,retrained
L1_LocalProteinCandidate,DBP35,protein,DBP48,0.9999998091591085,-0.19188241338180428,-0.19155216261238783,0.0003302507694164514,0.04314275085926056,False
L1_LocalProteinCandidate,DBP5,protein,DBP6,0.9999999944431496,-0.33568963867770885,-0.33586964937596625,-0.00018001069825740457,0.007674881257116795,False
L1c_LocalProteinCandidateCapacityMatched,DBP35,protein,DBP48,0.9999971152445384,-0.18878199820679767,-0.18809403040654898,0.0006879678002486844,0.0018408535979688168,False
L1c_LocalProteinCandidateCapacityMatched,DBP5,protein,DBP6,0.999984286343014,-0.3356052834530642,-0.33576670868206143,-0.00016142522899725842,0.0029330183751881123,False
L2_LocalProteinTargetCandidate,DBP35,protein,DBP48,0.9999960878265106,-0.18717622209457505,-0.18638077415508927,0.0007954479394857716,0.0030438778921961784,False
L2_LocalProteinTargetCandidate,DBP35,target,DBP48,0.9999999988803066,-0.18717622209457505,-0.18717282975504435,3.3923395307000614e-06,0.0018780413083732128,False
L2_LocalProteinTargetCandidate,DBP5,protein,DBP6,0.9999991671191467,-0.3380243134627843,-0.3380443957857119,-2.0082322927605922e-05,0.0026412373408675194,False
L2_LocalProteinTargetCandidate,DBP5,target,DBP6,0.9999999999999998,-0.3380243134627843,-0.3380243134627843,0.0,0.0,False
