protein	original_rho	loo_min_rho	loo_max_rho	loo_median_rho	loo_range	n_positions	status
DBP001	0.2271255060728745	0.09369369369369371	0.33590733590733596	0.23140283140283138	0.24221364221364225	13	PRIMARY_SIX
DBP003	0.18238866396761136	0.05740025740025741	0.2885456885456885	0.18584298584298584	0.23114543114543112	13	PRIMARY_SIX
DBP005	0.34916133214488293	0.24979757085020246	0.4257085020242915	0.3658906882591093	0.17591093117408904	14	PRIMARY_SIX
DBP006	0.7447532614861032	0.7078947368421054	0.7724696356275303	0.7424089068825912	0.064574898785425	14	PRIMARY_SIX
DBP009	0.5655133295519001	0.4870445344129555	0.6303643724696357	0.5667004048582996	0.14331983805668025	14	PRIMARY_SIX
DBP035	0.3583988331577668	0.22651821862348182	0.46194331983805664	0.3687246963562753	0.23542510121457483	14	PRIMARY_SIX
DBP048	0.049833887043189376	-0.09331983805668018	0.25020242914979757	0.0507085020242915	0.3435222672064777	14	SENSITIVITY_ONLY
