model	shuffle_type	split_type	fold_id	seed	protein_id	replacement_id	prediction_correlation	mean_abs_prediction_shift	normalized_rank_shift	retrained	development_status	source_file
M3	target	protein_cluster_loco	protein_cluster_loco_fold_2	17	DBP005	DBP006	0.999999999999999	1.5716068446636202e-09	9.992007221626409e-16	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_2	29	DBP035	DBP048	0.9968705672603728	0.0741792917251586	0.0031294327396272	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_2	29	DBP005	DBP006	0.9999999999999996	7.71251507103443e-10	3.3306690738754696e-16	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_2	43	DBP035	DBP048	0.5144099249916928	2.275673151016236	0.4855900750083072	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_2	43	DBP005	DBP006	0.9999999999999996	7.255493983393534e-10	4.440892098500626e-16	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_3	17	DBP048	DBP005	0.9432308295834494	0.4039428830146789	0.0567691704165506	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_3	29	DBP048	DBP005	0.9738540933635982	0.6419479846954346	0.0261459066364018	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_3	43	DBP048	DBP005	0.9077420972516632	0.473156988620758	0.0922579027483367	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_4	17	DBP006	DBP009	0.9999999999999996	5.711626727133988e-10	3.3306690738754696e-16	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_4	17	DBP009	DBP001	0.8587607334887196	0.3206668198108673	0.1412392665112803	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_4	29	DBP006	DBP009	0.9999999999999996	1.0242047210340386e-09	4.440892098500626e-16	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_4	29	DBP009	DBP001	0.9627509163001422	0.5992709398269653	0.0372490836998578	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_4	43	DBP006	DBP009	0.9999999999999996	1.175067154690623e-09	4.440892098500626e-16	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_4	43	DBP009	DBP001	0.816498609865521	0.4737824201583862	0.1835013901344789	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
