perturbation_type	metric	n_tf	median	mean	ci_low	ci_high	aggregation
canonical_watson_crick	global_spearman	7	0.9472747497219132	0.9486736728262339	0.9300217586618174	0.9670619235836626	site_median_within_tf_then_across_tf
canonical_watson_crick	position_spearman	7	0.8811188811188813	0.8750236458219652	0.7954545454545454	0.965034965034965	site_median_within_tf_then_across_tf
canonical_watson_crick	identity_residual_spearman	7	0.823037323037323	0.8244783382286122	0.7206904038211029	0.9388209121245827	site_median_within_tf_then_across_tf
canonical_watson_crick	identity_pairwise_accuracy	7	0.8143939393939394	0.8230880230880233	0.7916666666666666	0.8666666666666667	site_median_within_tf_then_across_tf
canonical_watson_crick	fraction_position_a	7	0.814930711322816	0.7845413617275312	0.6385025473558612	0.9228028640884235	site_median_within_tf_then_across_tf
canonical_watson_crick	fraction_identity_a	7	0.18506928867718409	0.21545863827246883	0.07719713591157638	0.3614974526441387	site_median_within_tf_then_across_tf
canonical_watson_crick	fraction_position_b	7	0.7884435312556969	0.7747402151984206	0.6159791793453058	0.9198742236249846	site_median_within_tf_then_across_tf
canonical_watson_crick	fraction_identity_b	7	0.21155646874430323	0.22525978480157954	0.08012577637501528	0.3840208206546944	site_median_within_tf_then_across_tf
mismatch	global_spearman	7	0.939035155406031	0.9220432772957349	0.9023939443387992	0.9612264740606986	site_median_within_tf_then_across_tf
mismatch	position_spearman	7	0.915151515151515	0.8855588389201834	0.890909090909091	0.9790209790209792	site_median_within_tf_then_across_tf
mismatch	identity_residual_spearman	7	0.8816466043385269	0.8543966064643165	0.750975146807098	0.9117195638586012	site_median_within_tf_then_across_tf
mismatch	identity_pairwise_accuracy	7	0.803030303030303	0.8018956878349808	0.7607323232323232	0.8319128787878788	site_median_within_tf_then_across_tf
mismatch	fraction_position_a	7	0.6370296577595246	0.5721883330335501	0.32271162574315354	0.711161532688379	site_median_within_tf_then_across_tf
mismatch	fraction_identity_a	7	0.3629703422404755	0.42781166696644984	0.2888384673116208	0.6772883742568466	site_median_within_tf_then_across_tf
mismatch	fraction_position_b	7	0.6257886272803456	0.5768159625808168	0.3394499427498384	0.7163633737929752	site_median_within_tf_then_across_tf
mismatch	fraction_identity_b	7	0.3742113727196546	0.42318403741918326	0.28363662620702473	0.6605500572501615	site_median_within_tf_then_across_tf
