analysis_set	method	omitted_protein	metric	n_proteins	median	mean
primary_six	PBM_experimental	DBP006	global_spearman	5	0.16883116883116883	0.22727272727272724
primary_six	PBM_experimental	DBP006	position_spearman	5	-0.25	-0.02857142857142856
primary_six	PBM_experimental	DBP006	within_residual_spearman	5	0.04675324675324675	0.10675324675324675
primary_six	PBM_experimental	DBP006	within_pairwise_accuracy	5	0.47619047619047616	0.5047619047619047
primary_six	PBM_experimental	DBP009	global_spearman	5	0.16883116883116883	0.2532995703352333
primary_six	PBM_experimental	DBP009	position_spearman	5	-0.25	-0.00714285714285714
primary_six	PBM_experimental	DBP009	within_residual_spearman	5	0.04675324675324675	0.11948051948051948
primary_six	PBM_experimental	DBP009	within_pairwise_accuracy	5	0.47619047619047616	0.49523809523809514
primary_six	PBM_experimental	DBP035	global_spearman	5	0.16883116883116883	0.2782346352702983
primary_six	PBM_experimental	DBP035	position_spearman	5	-0.25	0.00714285714285714
primary_six	PBM_experimental	DBP035	within_residual_spearman	5	0.14025974025974028	0.19454545454545452
primary_six	PBM_experimental	DBP035	within_pairwise_accuracy	5	0.5714285714285714	0.5238095238095237
