protein	comparison	level	metric	value	status
DBP005	competition_R1_vs_R2	POSITION	position_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP005	competition_R1_vs_R2	IDENTITY	within_position_residual_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP005	competition_R1_vs_R2	IDENTITY_PAIRWISE	within_position_pairwise_accuracy	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP006	competition_R1_vs_R2	GLOBAL	global_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP006	competition_R1_vs_R2	POSITION	position_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP006	competition_R1_vs_R2	IDENTITY	within_position_residual_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP006	competition_R1_vs_R2	IDENTITY_PAIRWISE	within_position_pairwise_accuracy	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP009	competition_R1_vs_R2	GLOBAL	global_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP009	competition_R1_vs_R2	POSITION	position_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP009	competition_R1_vs_R2	IDENTITY	within_position_residual_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP009	competition_R1_vs_R2	IDENTITY_PAIRWISE	within_position_pairwise_accuracy	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP023	competition_R1_vs_R2	GLOBAL	global_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP023	competition_R1_vs_R2	POSITION	position_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP023	competition_R1_vs_R2	IDENTITY	within_position_residual_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP023	competition_R1_vs_R2	IDENTITY_PAIRWISE	within_position_pairwise_accuracy	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP035	competition_R1_vs_R2	GLOBAL	global_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP035	competition_R1_vs_R2	POSITION	position_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP035	competition_R1_vs_R2	IDENTITY	within_position_residual_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP035	competition_R1_vs_R2	IDENTITY_PAIRWISE	within_position_pairwise_accuracy	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP048	competition_R1_vs_R2	GLOBAL	global_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP048	competition_R1_vs_R2	POSITION	position_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP048	competition_R1_vs_R2	IDENTITY	within_position_residual_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP048	competition_R1_vs_R2	IDENTITY_PAIRWISE	within_position_pairwise_accuracy	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP056	competition_R1_vs_R2	GLOBAL	global_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP056	competition_R1_vs_R2	POSITION	position_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP056	competition_R1_vs_R2	IDENTITY	within_position_residual_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP056	competition_R1_vs_R2	IDENTITY_PAIRWISE	within_position_pairwise_accuracy	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP062	competition_R1_vs_R2	GLOBAL	global_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP062	competition_R1_vs_R2	POSITION	position_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP062	competition_R1_vs_R2	IDENTITY	within_position_residual_spearman	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP062	competition_R1_vs_R2	IDENTITY_PAIRWISE	within_position_pairwise_accuracy	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
