perturbation_type	tf_id	global_spearman	position_spearman	identity_residual_spearman	identity_pairwise_accuracy	fraction_position_a	fraction_identity_a	fraction_position_b	fraction_identity_b
canonical_watson_crick	Cbf1	0.9325611325611326	0.8811188811188813	0.9032175032175033	0.8055555555555556	0.933033351985529	0.06696664801447118	0.9198742236249846	0.08012577637501528
canonical_watson_crick	Egr1	0.9819819819819822	0.965034965034965	0.9534105534105534	0.8888888888888888	0.917774955098449	0.08222504490155122	0.9177465360361294	0.08225346396387101
canonical_watson_crick	Ets1	0.9300217586618174	0.7954545454545454	0.7873758880630006	0.8143939393939394	0.6385025473558612	0.3614974526441387	0.6644440455812233	0.3355559544187767
canonical_watson_crick	GR	0.9670619235836626	0.9178571428571428	0.6447957839262187	0.7333333333333333	0.9228028640884235	0.07719713591157638	0.9305780823334686	0.06942191766653147
canonical_watson_crick	Max	0.9564993564993566	0.8811188811188813	0.823037323037323	0.8611111111111112	0.814930711322816	0.18506928867718409	0.7884435312556969	0.21155646874430323
canonical_watson_crick	TBP	0.9472747497219132	0.9757575757575756	0.9388209121245827	0.8666666666666667	0.6411348800837671	0.35886511991623293	0.6159791793453058	0.3840208206546944
canonical_watson_crick	p53	0.9253148067737734	0.7088235294117646	0.7206904038211029	0.7916666666666666	0.6236102221578727	0.3763897778421273	0.5861159082121354	0.41388409178786467
mismatch	Cbf1	0.9585764809902741	0.9230769230769231	0.9198979181737803	0.7954545454545454	0.8211482789949484	0.17885172100505167	0.8217147721616025	0.17828522783839756
mismatch	Egr1	0.9827144120247568	0.9790209790209792	0.9109436540471023	0.8232323232323232	0.711161532688379	0.2888384673116208	0.7163633737929752	0.28363662620702473
mismatch	Ets1	0.7846367678699753	0.890909090909091	0.750975146807098	0.7504225926226435	0.32271162574315354	0.6772883742568466	0.3394499427498384	0.6605500572501615
mismatch	GR	0.939035155406031	0.9857142857142854	0.8547815261787916	0.803030303030303	0.5783790025980893	0.4216209974019108	0.5783232414306254	0.4216767585693745
mismatch	Max	0.9023939443387992	0.9020979020979022	0.7508118318463146	0.7607323232323232	0.6370296577595246	0.3629703422404755	0.6257886272803456	0.3742113727196546
mismatch	TBP	0.9612264740606986	0.915151515151515	0.9117195638586012	0.8484848484848485	0.6658356451178356	0.3341643548821644	0.6765076289488232	0.3234923710511769
mismatch	p53	0.9257197063796091	0.6029411764705882	0.8816466043385269	0.8319128787878788	0.26905258833292045	0.7309474116670797	0.27956415170150717	0.7204358482984928
