method	protein_id	analysis_status	mapping_status	coverage_scope	n_mutations	holdout_status	global_spearman	global_pearson	global_rank_ci_low	global_rank_ci_high	position_spearman	position_pearson	position_mean_signed_spearman	position_mean_signed_pearson	position_max_abs_spearman	position_max_abs_pearson	within_residual_spearman	within_residual_pearson	within_pairwise_accuracy	within_kendall_style_concordance	n_positions
DeepPBS	DBP001	PRIMARY	PRIMARY	full_competition_landscape	39	DEVELOPMENT_EXPOSED	0.2271255060728745	0.3083158638723381	-0.018854305235509017	0.48954340441552024	0.510989010989011	0.503409157011017	0.46153846153846156	0.4237601031268602	0.7087912087912087	0.5622723181921234	0.007085020242914981	0.07013939206671295	0.3846153846153845	-0.23076923076923095	13
DeepPBS	DBP003	PRIMARY	PRIMARY	full_competition_landscape	39	DEVELOPMENT_EXPOSED	0.18238866396761136	0.2617301241616813	-0.023922297274679323	0.3767306212496342	0.23626373626373626	0.3507246375171628	0.2582417582417582	0.32520256475224546	0.4175824175824176	0.3170155258260896	0.11477732793522268	0.11128521343678312	0.5128205128205127	0.025641025641025328	13
DeepPBS	DBP005	PRIMARY	PRIMARY	full_competition_landscape	42	DEVELOPMENT_EXPOSED	0.34916133214488293	0.44286749255590613	0.15215505961403436	0.5243677516716236	0.3010989010989011	0.5546260138015696	0.38461538461538464	0.5554640312706253	0.21318681318681318	0.5278000559399195	0.11319990276314726	0.009711922991817864	0.49999999999999994	-1.1102230246251565e-16	14
DeepPBS	DBP006	PRIMARY	PRIMARY	full_competition_landscape	42	DEVELOPMENT_EXPOSED	0.7447532614861032	0.6863598339145168	0.6468009509625386	0.832258018555411	0.7010989010989012	0.7601432198748002	0.8021978021978022	0.7784860567725118	0.7010989010989012	0.8203695441529696	-0.07252248602220242	-0.10192983349655471	0.4285714285714285	-0.14285714285714302	14
DeepPBS	DBP009	PRIMARY	PRIMARY	full_competition_landscape	42	DEVELOPMENT_EXPOSED	0.5655133295519001	0.5916880828346179	0.4010856970430989	0.7056799229692909	0.7406593406593407	0.664211844128237	0.7494505494505495	0.659184577628758	0.8373626373626375	0.8053637714966767	0.1619803905680253	0.1350960764751175	0.5714285714285714	0.1428571428571428	14
DeepPBS	DBP035	PRIMARY	PRIMARY	full_competition_landscape	42	DEVELOPMENT_EXPOSED	0.3583988331577668	0.41302984292119627	0.1514261052544522	0.547026015048268	0.12967032967032965	0.3900408537683284	0.15164835164835166	0.4032754932496089	0.1956043956043956	0.3457090582675815	0.4441293250141804	0.47217205217860564	0.6666666666666666	0.33333333333333326	14
DeepPBS	DBP048	SENSITIVITY_ONLY	AMBIGUOUS	full_competition_landscape	42	DEVELOPMENT_EXPOSED	0.049833887043189376	0.09964916959539906	-0.11494602710818927	0.20810877364528657	0.367032967032967	0.3941778892175119	-0.04615384615384615	0.10885169148953827	0.3450549450549451	0.30926763178893185	0.011263268778867191	0.04208551598633593	0.4523809523809523	-0.09523809523809545	14
PBM_experimental	DBP001	PRIMARY	PRIMARY	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	-0.42207792207792205	-0.524215009124962	-0.7368987966867824	-0.12468974526453305	-0.9642857142857145	-0.8509460288953405	-0.9642857142857145	-0.8593351984039351	-0.5714285714285715	-0.8888378075787288	0.14025974025974028	0.05314028699756758	0.5714285714285714	0.1428571428571428	7
PBM_experimental	DBP003	PRIMARY	PRIMARY	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	0.16883116883116883	0.14278100757587026	-0.20000000000000004	0.5855547005717455	-0.25	-0.7406076195584804	0.10714285714285716	0.5830298647779006	-0.10714285714285716	-0.39036858912540273	-0.05844155844155843	-0.09013603806890261	0.42857142857142855	-0.1428571428571429	7
PBM_experimental	DBP005	PRIMARY	PRIMARY	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	0.14805194805194805	-0.030355612500053038	-0.24000965013868603	0.4714396808857158	-0.28571428571428575	-0.12705811233723324	-0.25	-0.0656272970415244	-0.3214285714285715	-0.39733109125898985	-0.016883116883116882	0.015967028646990268	0.4285714285714285	-0.14285714285714302	7
