pair_id,target,single_mut,double_mut,gc_matched_random,random_dna
1TUP_3_1,1,63,1890,1000,1000
1D66_3_1,1,57,1539,1000,1000
1B3T_2_1,1,54,1377,1000,1000
1O3T_3_2,1,51,1224,1000,1000
1O3R_3_2,1,45,945,1000,1000
1O3Q_3_2,1,45,945,1000,1000
1O3S_3_2,1,45,945,1000,1000
8TAC_1_2,1,33,495,1000,1000
