baseline,metric,n_evaluable_proteins,mean,median,std,coverage
DeepPBS,spearman,2,0.15927114742013274,0.15927114742013274,0.1684253282132619,2/7
DeepPBS,ndcg_1pct,2,0.49592544631052976,0.49592544631052976,0.05982705314470607,2/7
DeepPBS,ndcg_5pct,2,0.5354184593041866,0.5354184593041866,0.028538473434902328,2/7
DeepPBS,pairwise_accuracy,2,0.5519525976298815,0.5519525976298815,0.05427315911402322,2/7
DeepPBS,top1pct_recovery,2,0.006097560975609756,0.006097560975609756,0.008623253429104239,2/7
