protein	top_deleterious_exact_mean	pairwise_order_accuracy_mean	within_position_spearman_median
DBP001	0.3076923076923077	0.38461538461538464	-0.5
DBP003	0.46153846153846156	0.5128205128205128	-0.5
DBP005	0.2857142857142857	0.5	-0.5
DBP006	0.2857142857142857	0.42857142857142855	-0.5
DBP009	0.2857142857142857	0.5714285714285714	0.5
DBP035	0.5714285714285714	0.6666666666666666	0.5
DBP048	0.35714285714285715	0.4523809523809524	-0.5
