protein_id,n_7mers,n_replicates_min,n_replicates_max,max_e_score,median_e_score,q95_e_score,q99_e_score,n_top_1_percent_7mers,n_top_5_percent_7mers,n_high_score_7mers,high_score_threshold_source,top1_percent_score_mass_fraction_derived,specificity_entropy_or_concentration_metric,notes
DBP1,16384,2,2,0.484,-0.0125025,0.15947474999999997,0.2751480500000002,164,820,,not_applied; no PBM E-score threshold was assumed for v0.3,0.022169616829943836,top1_percent_score_mass_fraction_derived,E-score distribution summarized per protein; absolute values are not treated as cross-protein binding affinity.
DBP3,16384,2,2,0.484805,-0.0243275,0.1958574999999998,0.35942630000000003,164,820,,not_applied; no PBM E-score threshold was assumed for v0.3,0.025416777763524658,top1_percent_score_mass_fraction_derived,E-score distribution summarized per protein; absolute values are not treated as cross-protein binding affinity.
DBP35,16384,2,2,0.487755,-0.0171025,0.16533749999999964,0.31263720000000017,164,820,,not_applied; no PBM E-score threshold was assumed for v0.3,0.023409209121892,top1_percent_score_mass_fraction_derived,E-score distribution summarized per protein; absolute values are not treated as cross-protein binding affinity.
DBP48,16384,1,1,0.46393,-0.034805,0.27500199999999925,0.3766746,164,820,,not_applied; no PBM E-score threshold was assumed for v0.3,0.02036063906641821,top1_percent_score_mass_fraction_derived,E-score distribution summarized per protein; absolute values are not treated as cross-protein binding affinity.
DBP5,16384,1,1,0.47705,-0.007984999999999999,0.17984599999999978,0.25804760000000015,164,820,,not_applied; no PBM E-score threshold was assumed for v0.3,0.018914993969709235,top1_percent_score_mass_fraction_derived,E-score distribution summarized per protein; absolute values are not treated as cross-protein binding affinity.
DBP6,16384,2,2,0.491455,-0.020395000000000003,0.1771102499999989,0.31788520000000015,164,820,,not_applied; no PBM E-score threshold was assumed for v0.3,0.023955334089614692,top1_percent_score_mass_fraction_derived,E-score distribution summarized per protein; absolute values are not treated as cross-protein binding affinity.
DBP9,16384,2,2,0.44296,-0.020937499999999998,0.20278524999999992,0.31679110000000005,164,820,,not_applied; no PBM E-score threshold was assumed for v0.3,0.020677466992447716,top1_percent_score_mass_fraction_derived,E-score distribution summarized per protein; absolute values are not treated as cross-protein binding affinity.
