protein	n_matched	deeppbs_rho	deeppbs_position_rho	deeppbs_within_position_median_rho	deeppbs_severe_quartile_ap	deeppbs_position_null_median	deeppbs_position_null_q975	deeppbs_position_null_p_greater	deeppbs_null_adjusted_rho	nampnn_derived_rho	nampnn_derived_position_rho	nampnn_derived_within_position_median_rho	nampnn_derived_severe_quartile_ap	nampnn_derived_position_null_median	nampnn_derived_position_null_q975	nampnn_derived_position_null_p_greater	nampnn_derived_null_adjusted_rho	rho_difference_deeppbs_minus_nampnn	na_score_label	status
DBP001	21	0.4454545454545455	0.5	0.5	0.6835470085470085	0.3948051948051948	0.5558441558441559	0.2850714928507149	0.050649350649350666	0.22857142857142856	0.03571428571428572	0.5	0.3853174603174603	0.08051948051948052	0.287012987012987	0.11878812118788121	0.14805194805194805	0.21688311688311693	NA-MPNN frozen global landscape-derived local mutation score	PRIMARY
DBP003	21	0.1935064935064935	0.42857142857142866	0.5	0.4615079365079365	0.1909090909090909	0.2636363636363636	0.4824517548245176	0.0025974025974025983	0.34935064935064936	0.28571428571428575	0.5	0.3855311355311355	0.2987012987012987	0.4	0.22317768223177684	0.050649350649350666	-0.15584415584415587	NA-MPNN frozen global landscape-derived local mutation score	PRIMARY
DBP005	21	0.49350649350649345	0.7500000000000002	-0.5	0.44457671957671957	0.5558441558441559	0.6610389610389611	0.8492150784921508	-0.06233766233766247	0.3103896103896104	0.10714285714285716	0.5	0.2874338624338624	0.2194805194805195	0.3532467532467533	0.16128387161283872	0.09090909090909088	0.18311688311688307	NA-MPNN frozen global landscape-derived local mutation score	PRIMARY
DBP006	21	0.461038961038961	0.4642857142857144	-0.5	0.6109126984126984	0.487012987012987	0.5766233766233767	0.6982301769823017	-0.025974025974025983	0.06753246753246753	0.10714285714285716	0.5	0.5827067669172932	0.04285714285714286	0.1077922077922078	0.24267573242675733	0.02467532467532467	0.39350649350649347	NA-MPNN frozen global landscape-derived local mutation score	PRIMARY
DBP009	21	0.2506493506493506	0.4642857142857144	0.5	0.4776126651126651	0.29740259740259745	0.39610389610389607	0.7138286171382862	-0.046753246753246824	0.06883116883116883	0.14285714285714288	0.5	0.2356442577030812	0.05714285714285714	0.0935064935064935	0.28847115288471153	0.011688311688311685	0.1818181818181818	NA-MPNN frozen global landscape-derived local mutation score	PRIMARY
DBP035	21	0.45194805194805193	0.07142857142857144	1.0	0.5132275132275133	0.27792207792207796	0.4402597402597402	0.013998600139986002	0.17402597402597397	0.005194805194805195	0.14285714285714288	-0.5	0.2907407407407407	0.04155844155844156	0.15714285714285717	0.7289271072892711	-0.03636363636363636	0.44675324675324674	NA-MPNN frozen global landscape-derived local mutation score	PRIMARY
DBP048	21	-0.12337662337662336	-0.14285714285714288	-0.5	0.2571911805657936	-0.18961038961038962	-0.06493506493506493	0.19938006199380062	0.06623376623376626	-0.045454545454545456	-0.14285714285714288	0.5	0.30726120857699807	-0.15454545454545454	0.025974025974025972	0.1513848615138486	0.10909090909090909	-0.0779220779220779	NA-MPNN frozen global landscape-derived local mutation score	SENSITIVITY_ONLY
