baseline,macro_median_spearman,macro_mean_spearman,n_proteins_evaluated,replicate_reference_spearman,gap_to_reference,disagreement_candidates_total
DeepPBS,,,0,0.5914386964424022,,1515
NA-MPNN_structural_ppm,-0.040717571694040666,-0.040717571694040666,2,0.5914386964424022,0.6321562681364429,1515
SimpleProteinConditionalBaseline,,,0,0.5914386964424022,,1515
sequence_edit,0.06144857419012779,0.04646844472501162,7,0.5914386964424022,0.5299901222522744,1515
sequence_hamming,0.05554138003302766,0.04050785242701056,7,0.5914386964424022,0.5358973164093745,1515
sequence_kmer3,0.2320822289869546,0.18086390441198869,7,0.5914386964424022,0.3593564674554476,1515
sequence_kmer4,0.153804959756108,0.1286859507659683,7,0.5914386964424022,0.43763373668629424,1515
