protein_id,motif_distance_bin,baseline,spearman,ndcg_5pct,n_rc_classes,evaluation_status
DBP35,2,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP35,3+,sequence_hamming,-0.033115229200106164,0.5570589346340572,7120,evaluated
DBP35,3+,sequence_edit,-0.02369265236880896,0.6064804803083045,7120,evaluated
DBP35,3+,sequence_kmer3,0.28290249039508003,0.7929659261830652,7120,evaluated
DBP35,3+,sequence_kmer4,0.1506230884669142,0.6886989200288116,7120,evaluated
DBP35,3+,NA-MPNN_structural_ppm,0.2250642907960888,0.6921144516882138,7120,evaluated
DBP35,3+,DeepPBS,,,0,too_few_or_no_scores
DBP35,3+,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP48,0,sequence_hamming,,,8,too_few_or_no_scores
DBP48,0,sequence_edit,,,8,too_few_or_no_scores
DBP48,0,sequence_kmer3,,,8,too_few_or_no_scores
DBP48,0,sequence_kmer4,,,8,too_few_or_no_scores
DBP48,0,NA-MPNN_structural_ppm,,,8,too_few_or_no_scores
DBP48,0,DeepPBS,,,0,too_few_or_no_scores
DBP48,0,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP48,1,sequence_hamming,,0.4674400746738459,144,evaluated
DBP48,1,sequence_edit,,0.4674400746738459,144,evaluated
DBP48,1,sequence_kmer3,0.3619256656584157,0.717642827854243,144,evaluated
DBP48,1,sequence_kmer4,0.22755729979603526,0.5604183791377516,144,evaluated
DBP48,1,NA-MPNN_structural_ppm,-0.3979824772928221,0.37758956694984225,144,evaluated
DBP48,1,DeepPBS,,,0,too_few_or_no_scores
DBP48,1,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP48,2,sequence_hamming,,0.4737991457841194,1020,evaluated
DBP48,2,sequence_edit,,0.4737991457841194,1020,evaluated
DBP48,2,sequence_kmer3,0.1384157851943252,0.7147963275348594,1020,evaluated
DBP48,2,sequence_kmer4,0.03602809075487716,0.5842052031675575,1020,evaluated
DBP48,2,NA-MPNN_structural_ppm,-0.37170784454436534,0.24431303003700824,1020,evaluated
DBP48,2,DeepPBS,,,0,too_few_or_no_scores
DBP48,2,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP48,3+,sequence_hamming,0.19651556357344088,0.48498217733490095,7020,evaluated
DBP48,3+,sequence_edit,0.23260938580103924,0.5681026866343054,7020,evaluated
DBP48,3+,sequence_kmer3,0.303860470377891,0.8055789062944362,7020,evaluated
DBP48,3+,sequence_kmer4,0.18636169953602372,0.7501048641879661,7020,evaluated
DBP48,3+,NA-MPNN_structural_ppm,-0.3234563593327499,0.32603121601929086,7020,evaluated
