dbp_id,target_similarity_bin,bin_lower_threshold,bin_upper_threshold,model,spearman,n_rc_classes,bin_definition
DBP5,medium,0.0,0.16666666666666666,M1c,0.08843020738224741,2762,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP5,medium,0.0,0.16666666666666666,M2,-0.0037057387496448988,2762,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP5,medium,0.0,0.16666666666666666,M3,0.30780629384908054,2762,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP6,high,0.0,0.16666666666666666,M1c,0.025864498899963104,2422,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP6,high,0.0,0.16666666666666666,M2,0.08012037516256638,2422,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP6,high,0.0,0.16666666666666666,M3,0.10633746762844624,2422,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP6,low,0.0,0.16666666666666666,M1c,-0.15210288433622277,3008,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP6,low,0.0,0.16666666666666666,M2,-0.06030316905881852,3008,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP6,low,0.0,0.16666666666666666,M3,-0.050346883127943456,3008,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP6,medium,0.0,0.16666666666666666,M1c,0.02125732073968884,2762,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP6,medium,0.0,0.16666666666666666,M2,0.09902326171302485,2762,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP6,medium,0.0,0.16666666666666666,M3,0.10531195528527366,2762,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP9,high,0.0,0.16666666666666666,M1c,0.08341398236163913,2422,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP9,high,0.0,0.16666666666666666,M2,0.034433036531251716,2422,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP9,high,0.0,0.16666666666666666,M3,0.02660714537040942,2422,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP9,low,0.0,0.16666666666666666,M1c,0.21200201423140966,3008,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP9,low,0.0,0.16666666666666666,M2,0.15586204416933028,3008,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP9,low,0.0,0.16666666666666666,M3,0.12120952299765135,3008,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP9,medium,0.0,0.16666666666666666,M1c,0.23675064680318933,2762,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP9,medium,0.0,0.16666666666666666,M2,0.17876119421839406,2762,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP9,medium,0.0,0.16666666666666666,M3,0.14230229699292282,2762,per-protein target-kmer-overlap tertiles fixed before outcome inspection
