subset,count,fraction_of_reference,proteins_represented,n_proteins,experimental_E_score_median,target_hamming_median,target_edit_median,target_kmer_overlap_median
m1_fail_m3_success,164,0.10825082508250825,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6,6,0.251285,0.4285714285714286,0.5714285714285714,0.14285714285714285
m1c_fail_m3_success,154,0.10165016501650165,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6|DBP9,7,0.24353,0.5714285714285714,0.5714285714285714,0.14285714285714285
m2_fail_m3_success,118,0.07788778877887789,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6|DBP9,7,0.22861749999999997,0.4285714285714286,0.5714285714285714,0.125
joint_controls_fail_m3_success,99,0.06534653465346535,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6,6,0.22567,0.5714285714285714,0.5714285714285714,0.125
all_current_models_fail,871,0.574917491749175,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6|DBP9,7,0.246415,0.5714285714285714,0.5714285714285714,0.16666666666666666
