split_scope,protein_id,control,spearman,ndcg_1pct,ndcg_5pct,pairwise_accuracy,top1pct_recovery,n_rc_classes
all_7_proteins,DBP1,TargetHamming,0.024105221116687836,0.6315486340015019,0.6210093957011172,0.5156,0.0,8192
all_7_proteins,DBP1,TargetEdit,0.04538584366488598,0.6315486340015019,0.6078363245349009,0.520825,0.0,8192
all_7_proteins,DBP1,TargetKmerOverlap,0.1330253848909593,0.6085698725423768,0.6023889280376561,0.543525,0.024390243902439025,8192
all_7_proteins,DBP3,TargetHamming,0.008536328071432578,0.6041945896562674,0.5948746525189451,0.5111,0.0,8192
all_7_proteins,DBP3,TargetEdit,0.03888250163267455,0.6041945896562674,0.5857983421415547,0.519425,0.0,8192
all_7_proteins,DBP3,TargetKmerOverlap,0.10259186326189929,0.5859036085528475,0.5803799073287769,0.538025,0.012195121951219513,8192
all_7_proteins,DBP35,TargetHamming,-0.027671918561440145,0.5231105294241567,0.5267942342762095,0.4894244712235612,0.036585365853658534,8192
all_7_proteins,DBP35,TargetEdit,-1.289527393184652e-05,0.5231105294241567,0.5401389930247497,0.4995499774988749,0.036585365853658534,8192
all_7_proteins,DBP35,TargetKmerOverlap,0.1354255749375157,0.6526295622973559,0.651617224049691,0.5396519825991299,0.04878048780487805,8192
all_7_proteins,DBP48,TargetHamming,0.25992436155910875,0.6214495557764093,0.569369341543895,0.5801790089504475,0.024390243902439025,8192
all_7_proteins,DBP48,TargetEdit,0.28285672798101946,0.6214495557764093,0.567292710667982,0.588354417720886,0.024390243902439025,8192
all_7_proteins,DBP48,TargetKmerOverlap,0.20727029958344467,0.6924001356289885,0.6986205116554749,0.5687784389219461,0.08536585365853659,8192
all_7_proteins,DBP5,TargetHamming,0.0329516345883138,0.5660601685917022,0.5472735740016603,0.507125,0.0,8192
all_7_proteins,DBP5,TargetEdit,0.06056110626038949,0.5660601685917022,0.5587268123935473,0.51815,0.0,8192
all_7_proteins,DBP5,TargetKmerOverlap,0.21325277323814487,0.7060921890134144,0.6652145471097097,0.565775,0.012195121951219513,8192
all_7_proteins,DBP6,TargetHamming,0.08555019926753177,0.6055448248863115,0.5903178897605699,0.522225,0.06097560975609756,8192
all_7_proteins,DBP6,TargetEdit,0.13154317879530775,0.6055448248863115,0.5975767177467503,0.53935,0.06097560975609756,8192
all_7_proteins,DBP6,TargetKmerOverlap,0.20281185478259148,0.7729587046502742,0.7350430866101701,0.562475,0.0975609756097561,8192
all_7_proteins,DBP9,TargetHamming,0.08528834431897427,0.6498482745974262,0.6153162771390621,0.528125,0.12195121951219512,8192
all_7_proteins,DBP9,TargetEdit,0.07891819469654691,0.6498482745974262,0.6176494874829472,0.52755,0.12195121951219512,8192
all_7_proteins,DBP9,TargetKmerOverlap,0.11037440448136909,0.7469628969033125,0.669064984652706,0.536025,0.13414634146341464,8192
