split_type,fold_id,seed,dbp_id,protein_cluster,combined_component,model,n_units,spearman,ndcg_1pct,ndcg_5pct,pairwise_accuracy,top1pct_recovery,training_proteins,test_proteins,runtime_seconds,training_pair_count,development_exposed,status
protein_cluster_loco,protein_cluster_loco_fold_1,29,DBP1,protein_cluster_1,combined_component_1,M3,8192,-0.1913604263786133,0.503214075688965,0.4432896396382994,0.434775,0.0975609756097561,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,4.147783799999161,2560,True,complete
protein_cluster_loco,protein_cluster_loco_fold_1,29,DBP3,protein_cluster_1,combined_component_1,M3,8192,0.10388970280455063,0.6187752175586319,0.5624893585922816,0.535175,0.12195121951219512,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,4.147783799999161,2560,True,complete
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP1,protein_cluster_1,combined_component_1,M0,8192,0.22970651168388811,0.6172555352633771,0.6487514790539864,0.576575,0.04878048780487805,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.2522522999934154,2560,True,complete
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP3,protein_cluster_1,combined_component_1,M0,8192,0.21250487914096858,0.6142568429385458,0.6753079370888083,0.569025,0.04878048780487805,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.2522522999934154,2560,True,complete
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP1,protein_cluster_1,combined_component_1,M1,8192,0.33012543099078107,0.7118323633959573,0.693898586281168,0.609225,0.024390243902439025,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.494265400004224,2560,True,complete
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP3,protein_cluster_1,combined_component_1,M1,8192,0.1284582655657631,0.5679473459665104,0.5333751379573237,0.545375,0.012195121951219513,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.494265400004224,2560,True,complete
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP1,protein_cluster_1,combined_component_1,M1c,8192,0.2771282551308014,0.7327355812608987,0.6948819748987511,0.595325,0.024390243902439025,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2.646390900001279,2560,True,complete
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP3,protein_cluster_1,combined_component_1,M1c,8192,0.09103429426508403,0.5869962426761249,0.5331410942541748,0.533475,0.024390243902439025,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2.646390900001279,2560,True,complete
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP1,protein_cluster_1,combined_component_1,M2,8192,0.02347981161154756,0.6065611433595751,0.5762585776226831,0.509475,0.0,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2.4893513999995776,2560,True,complete
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP3,protein_cluster_1,combined_component_1,M2,8192,0.15360740125183978,0.7599871559709983,0.6635233846323161,0.551625,0.0,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2.4893513999995776,2560,True,complete
