model,all7_macro_median,unseen5_macro_median,all7_macro_mean,unseen5_macro_mean,all7_macro_sd,unseen5_macro_sd,proteins_evaluated,unseen5_proteins_evaluated,seeds,median_delta_m3_minus_m1_all7,median_delta_m3_minus_m1_unseen5,median_delta_m3_minus_m1c_all7,median_delta_m3_minus_m1c_unseen5,median_delta_m3_minus_m2_all7,median_delta_m3_minus_m2_unseen5,m3_improved_over_m1_all7_count,m3_improved_over_m1_unseen5_count,m3_improved_over_m1c_all7_count,m3_improved_over_m1c_unseen5_count,m3_improved_over_m2_all7_count,m3_improved_over_m2_unseen5_count
M0,0.12495071006359587,0.09622825655133112,0.1053782088872032,0.05834148386761896,0.13628916470360802,0.1348421210301129,7,5,17|29|43,0.012438213813145166,0.012438213813145166,-0.02273981570030585,0.00769362164629301,-0.02009070534959534,-0.02009070534959534,4,3,3,3,3,2
M1,0.05576127261303032,-0.01616520619180004,0.08357045500517339,0.020834771863380563,0.1665096374792413,0.11526721787564989,7,5,17|29|43,0.012438213813145166,0.012438213813145166,-0.02273981570030585,0.00769362164629301,-0.02009070534959534,-0.02009070534959534,4,3,3,3,3,2
M1c,0.06050586477988248,0.005164841314246654,0.08360092169293565,0.01629900972429193,0.1670327450518601,0.12311960641052164,7,5,17|29|43,0.012438213813145166,0.012438213813145166,-0.02273981570030585,0.00769362164629301,-0.02009070534959534,-0.02009070534959534,4,3,3,3,3,2
M2,0.038764479230060274,0.038764479230060274,0.032198423180423305,0.008838373886270252,0.09339740663373607,0.09515020921548205,7,5,17|29|43,0.012438213813145166,0.012438213813145166,-0.02273981570030585,0.00769362164629301,-0.02009070534959534,-0.02009070534959534,4,3,3,3,3,2
M3,0.06819948642617549,0.06819948642617549,0.03236289819399651,0.012943404728885213,0.102496190115209,0.11674535246088649,7,5,17|29|43,0.012438213813145166,0.012438213813145166,-0.02273981570030585,0.00769362164629301,-0.02009070534959534,-0.02009070534959534,4,3,3,3,3,2
