model,epoch,mean_pairwise_loss,reported_model
M1_ProteinCandidate,1,0.712468883395195,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,2,0.700954270362854,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,3,0.6953654617071152,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,4,0.6943192839622497,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,5,0.6935993999242782,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,6,0.670808470249176,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,7,0.6510139614343643,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,8,0.648944266140461,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,9,0.6543117552995682,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,10,0.6383852779865264,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,11,0.636336687207222,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,12,0.6195824488997459,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,13,0.6236646935343743,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,14,0.6179454818367958,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,15,0.5940001681447029,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,16,0.5879344254732132,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,17,0.5894889160990715,M1c_ProteinCandidateCapacityMatched
M1_ProteinCandidate,18,0.5828441068530082,M1c_ProteinCandidateCapacityMatched
