split_type,fold_id,seed,model,training_proteins,test_proteins,training_pair_count,runtime_seconds,first_epoch_loss,last_epoch_loss,loss_delta,prediction_variance,prediction_min,prediction_max,nan_inf_count,status
protein_cluster_loco,protein_cluster_loco_fold_1,17,M0,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,1.9114406000007875,0.7007225453853607,0.6542783200740814,-0.04644422531127934,0.15569326281547546,-2.0492775440216064,2.226996660232544,0,complete
protein_cluster_loco,protein_cluster_loco_fold_1,17,M1,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,2.321642700000666,0.7010954916477203,0.5983262285590172,-0.10276926308870316,0.9256994128227234,-0.8523006439208984,5.736075401306152,0,complete
protein_cluster_loco,protein_cluster_loco_fold_1,17,M1c,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,2.7044656999933068,0.7120449244976044,0.6065547943115235,-0.10549013018608089,0.8223816752433777,-2.0364387035369873,3.2875733375549316,0,complete
protein_cluster_loco,protein_cluster_loco_fold_1,17,M2,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,2.2672774999955436,0.705772191286087,0.6653957664966583,-0.04037642478942871,1.371364712715149,-4.653434753417969,1.4257826805114746,0,complete
protein_cluster_loco,protein_cluster_loco_fold_1,17,M3,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,2.356265500013251,0.7068905800580978,0.6117196187376976,-0.09517096132040015,0.25379282236099243,-2.4658241271972656,1.372234582901001,0,complete
protein_cluster_loco,protein_cluster_loco_fold_1,29,M0,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,1.7092896999965888,0.6972662061452866,0.6391494512557984,-0.0581167548894882,0.22945864498615265,-1.9322909116744995,1.8524279594421387,0,complete
protein_cluster_loco,protein_cluster_loco_fold_1,29,M1,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,2.4957664999965345,0.7034746587276459,0.5988462477922439,-0.10462841093540198,0.8668409585952759,-6.210608005523682,0.9200009107589722,0,complete
protein_cluster_loco,protein_cluster_loco_fold_1,29,M1c,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,2.4241154000046663,0.7071144759654999,0.5869785070419311,-0.12013596892356881,3.107558250427246,-6.182160377502441,0.9999237060546875,0,complete
protein_cluster_loco,protein_cluster_loco_fold_1,29,M2,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,2.7983799999929033,0.7054903179407119,0.5939451396465302,-0.11154517829418176,0.23068252205848694,-1.7513501644134521,2.248847007751465,0,complete
protein_cluster_loco,protein_cluster_loco_fold_1,29,M3,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,4.147783799999161,0.7068645268678665,0.6330239832401275,-0.07384054362773895,1.242089033126831,-4.786307334899902,2.1940407752990723,0,complete
