dbp_id,hard_cases,M0,M1,M1c,M2,M3
DBP1,287,112,103,115,37,43
DBP3,381,160,41,71,75,82
DBP35,174,43,9,11,50,8
DBP48,224,6,7,3,6,9
DBP5,178,14,35,27,26,50
DBP6,150,40,29,33,38,41
DBP9,121,8,22,22,9,3
