model,all_evaluated_macro_median,all_evaluated_macro_mean,all_evaluated_macro_sd,proteins_evaluated,components_evaluated,seeds,median_delta_m3_minus_m1,median_delta_m3_minus_m1c,median_delta_m3_minus_m2,m3_improved_over_m1_count,m3_improved_over_m1c_count,m3_improved_over_m2_count
M0,0.1685768050783356,0.1131103937938427,0.15101695489352143,7,3,17|29|43,-0.0160014512381816,-0.03119211012525583,-0.056621874021319796,3,2,2
M1,-0.013396208270300664,0.0356635408792005,0.19095161826404214,7,3,17|29|43,-0.0160014512381816,-0.03119211012525583,-0.056621874021319796,3,2,2
M1c,-0.053436609394889235,0.03217176274700119,0.19759517305989388,7,3,17|29|43,-0.0160014512381816,-0.03119211012525583,-0.056621874021319796,3,2,2
M2,0.03326358396922102,0.056424090460293855,0.12366368192713005,7,3,17|29|43,-0.0160014512381816,-0.03119211012525583,-0.056621874021319796,3,2,2
M3,-0.002937057646512637,-0.020097105672813347,0.12225097019463364,7,3,17|29|43,-0.0160014512381816,-0.03119211012525583,-0.056621874021319796,3,2,2
