split_type,fold_id,seed,model,training_proteins,test_proteins,training_pair_count,runtime_seconds,first_epoch_loss,last_epoch_loss,prediction_variance,nan_inf_count,diagnostic_replay
protein_cluster_loco,protein_cluster_loco_fold_2,43,M0,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2560,0.9676948999986053,0.7001750886440277,0.6427655994892121,0.29027581214904785,0,True
protein_cluster_loco,protein_cluster_loco_fold_2,43,M1,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2560,1.3395237000077032,0.7124106407165527,0.5826681837439537,0.9171104431152344,0,True
protein_cluster_loco,protein_cluster_loco_fold_2,43,M1c,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2560,1.345003499998711,0.707359927892685,0.6002955064177513,0.27234309911727905,0,True
protein_cluster_loco,protein_cluster_loco_fold_2,43,M2,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2560,1.5137889999896288,0.7040482670068741,0.6734492689371109,0.16027171909809113,0,True
protein_cluster_loco,protein_cluster_loco_fold_2,43,M3,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2560,2.1145719999913126,0.6996187329292297,0.6913777440786362,0.00901711080223322,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,17,M0,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,1.29970350000076,0.6920980115731558,0.6272577370206515,0.3116868734359741,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,17,M1,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,1.6849804000084987,0.6940991977850596,0.6169829914967219,0.37323498725891113,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,17,M1c,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,1.6671908999996958,0.6963653564453125,0.616532397766908,0.3809351325035095,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,17,M2,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,1.9009605000028387,0.6943297311663628,0.6343707715471586,0.23300184309482574,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,17,M3,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,1.8791991000034614,0.696598100165526,0.6191815336545309,0.48349934816360474,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,29,M0,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,1.255044599995017,0.6938246935606003,0.6101473694046339,0.43196719884872437,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,29,M1,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,1.6158389000047464,0.6946826378504435,0.6380972738067309,0.30869853496551514,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,29,M1c,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,1.7065909999946598,0.6946106627583504,0.613248015443484,0.49870800971984863,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,29,M2,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,1.7869311999966158,0.6924652978777885,0.6138269479076067,0.31048280000686646,0,True
