protein	v1_1_recorded	v1_2_recomputed	absolute_difference	status
DBP001	0.2271255060728745	0.2271255060728745	0.0	PASS
DBP003	0.18238866396761136	0.18238866396761136	0.0	PASS
DBP005	0.34916133214488293	0.34916133214488293	0.0	PASS
DBP006	0.7447532614861032	0.7447532614861032	0.0	PASS
DBP009	0.5655133295519001	0.5655133295519001	0.0	PASS
DBP035	0.3583988331577668	0.3583988331577668	0.0	PASS
DBP048	0.049833887043189376	0.049833887043189376	0.0	PASS
