protein	rho_pbm_competition	rho_deeppbs_competition	mapping_status
DBP001	-0.42207792207792205	0.4454545454545455	PRIMARY
DBP003	0.16883116883116883	0.1935064935064935	PRIMARY
DBP005	0.14805194805194805	0.49350649350649345	PRIMARY
DBP006	0.8132510984294133	0.461038961038961	PRIMARY
DBP009	0.6831168831168831	0.2506493506493506	PRIMARY
DBP035	0.5584415584415584	0.45194805194805193	PRIMARY
