model,dbp_id,S512_test_rho,D4096_test_rho,D16384_test_rho,D4096_minus_S512,D16384_minus_S512
M0,DBP48,-0.20299364023121,-0.2733872380523387,-0.2244529339590933,-0.07039359782112872,-0.0214592937278833
M1c,DBP48,-0.16433443269185333,-0.18191712637179852,-0.11802827514091144,-0.017582693679945194,0.04630615755094189
M2,DBP48,-0.18326613118926852,-0.3287124280533806,-0.2533000987676552,-0.14544629686411206,-0.07003396757838667
M3,DBP48,-0.25593261407618806,-0.29310276085156417,-0.26898919069919164,-0.03717014677537611,-0.01305657662300358
