model,protocol,median_candidate_coverage,train_rho,test_rho,median_shuffle_prediction_correlation
M1c,S512,0.11767578125,0.31163156042983775,-0.16433443269185333,0.8321343609064693
M2,S512,0.11767578125,0.26266343656524227,-0.18326613118926852,0.8951120915576027
M3,S512,0.11767578125,0.3057908170049427,-0.25593261407618806,0.9840337653839413
M1c,D4096,0.766357421875,0.3194114758531861,-0.18191712637179852,0.9999835186814364
M2,D4096,0.766357421875,0.30205245480980303,-0.3287124280533806,0.996247022572253
M3,D4096,0.766357421875,0.28886263977299453,-0.29310276085156417,0.9906791029367018
M1c,D16384,1.0,0.22151267402495756,-0.11802827514091144,0.9999969673469885
M2,D16384,1.0,0.29499242907436196,-0.2533000987676552,0.9973361065045057
M3,D16384,1.0,0.2742311350636582,-0.26898919069919164,0.990505621831157
