source_database,publication,dataset_code,filename,url,local_relative_path,sha256,size,n_8mer_profile_files,download_status,head_status,retrieval_date
UniPROBE,"Mariani et al., Cell Systems 2017",MAR17A,MAR17A_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/MAR17A/MAR17A_contig8mers.zip,,,31860349.0,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
UniPROBE,Mizeracka et al. 2019,MIZ19A,MIZ19A_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/MIZ19A/MIZ19A_contig8mers.zip,,,,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
UniPROBE,"Nakagawa et al., PNAS 2013",PNAS13,PNAS13_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/PNAS13/PNAS13_contig8mers.zip,,,10599624.0,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
UniPROBE,"Peterson et al., Genes Dev 2012",GD12,GD12_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/GD12/GD12_contig8mers.zip,,,3016623.0,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
UniPROBE,"Pompeani et al., Mol Microbiol 2008",MMB08,MMB08_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/MMB08/MMB08_contig8mers.zip,,,,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
UniPROBE,"Radke et al., PNAS 2013",RAD13A,RAD13A_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/RAD13A/RAD13A_contig8mers.zip,,,532095.0,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
UniPROBE,"Rogers et al., Mol Cell 2019",ROG18A,ROG18A_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/ROG18A/ROG18A_contig8mers.zip,,,11041196.0,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
UniPROBE,"Santos et al., Cell Host Microbe 2017",SAN17A,SAN17A_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/SAN17A/SAN17A_contig8mers.zip,,,8939830.0,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
UniPROBE,"Scharer et al., Cancer Res 2009",CR09,CR09_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/CR09/CR09_contig8mers.zip,,,863416.0,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
UniPROBE,"Shokri et al., Cell Reports 2019",SHO18A,SHO18A_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/SHO18A/SHO18A_contig8mers.zip,,,21261466.0,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
UniPROBE,"Soruco et al., Genes Dev 2013",GD13,GD13_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/GD13/GD13_contig8mers.zip,,,940212.0,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
UniPROBE,"Stielow et al., Science Advances 2021",STI21B,STI21B_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/STI21B/STI21B_contig8mers.zip,,,8473036.0,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
UniPROBE,"Wei et al., EMBO J 2010",EMBO10,EMBO10_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/EMBO10/EMBO10_contig8mers.zip,,,10884062.0,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
UniPROBE,"Zhu et al., Genome Res 2009",GR09,GR09_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/GR09/GR09_contig8mers.zip,,,33836412.0,0,skipped_after_min_profiles_reached,head_ok,2026-09-02
